address,type,name
0x582c10,function,___wtomb_environ
0x582dc0,function,___crtMessageBoxA
0x583070,function,__copysign
0x5838e0,function,__ZeroTail
0x583950,function,__IncMan
0x5839c0,function,__RoundMan
0x583a60,function,__CopyMan
0x583a80,function,__FillZeroMan
0x583a90,function,__IsZeroMan
0x583ab0,function,__ShrMan
0x583b70,function,__ld12cvt
0x583d40,function,__ld12tod
0x5840b0,function,_mbtowc
0x5842a0,function,_isspace
0x584480,function,__allshl
0x5844a0,function,__isatty
0x5844d0,function,_wctomb
0x584550,function,__aullrem
0x5845d0,function,__matherr
0x5845e0,function,__87except
0x584700,function,__alloc_osfhnd
0x5847c0,function,__set_osfhnd
0x584870,function,__free_osfhnd
0x584910,function,__get_osfhandle
0x584a00,function,__open
0x584a20,function,__sopen
0x584de0,function,__lseeki64
0x584ed0,function,___strgtold12
0x5856b0,function,___tzset
0x5856d0,function,__tzset
0x585980,function,__isindst
0x585d90,function,__getcwd
0x585db0,function,__getdcwd
0x585ee0,function,__validdrive
0x586080,function,_wcslen
0x5862f0,function,___crtCompareStringA
0x5865f0,function,___crtsetenv
0x5868f0,function,___addl
0x586920,function,___add_12
0x586990,function,___shl_12
0x5869c0,function,___shr_12
0x5869f0,function,___mtold12
0x586e80,function,__chsize
0x587000,function,___ld12mul
0x5872c0,function,___multtenpow12
0x587350,function,_wcstombs
0x587580,function,_realloc
0x587720,function,__mbschr
0x587820,function,__setmode
0x587a10,function,__strnicmp
0x587ac0,function,__strupr
0x58ca90,global,typemask
0x58cac8,global,bigTypeshift
0x58cb00,global,litTypeshift
0x655bb8,global,gAxis_names
0x661938,global,gFunk_type_names
0x6619b4,global,broadcast
0x67be98,global,gTransient_bitmaps
0x67c348,global,gOrig_render_palette
0x67c34c,global,gNoTransients
0x67c358,global,gDim_amount
0x67c3f0,global,gInventory_cycling
0x68c1e0,global,return_val
0x6a2354,global,gFancy_shadow
0x6a2488,global,gSaved_shade_tables
0x6a32e0,global,gCurrent_skid
0x6a80f4,global,gGroove_by_proxy_actor
0x6b2e70,global,___lc_handle
0x7059c8,global,gModel_powerup_offence
0x74b714,global,gCamera_angle
0x74d098,global,gBack_screen
0x74d544,global,gAustere_time
0x75ba4c,global,gOpponent_viewing_mode
0x761c8c,global,gMass_mutant_tail_ball
0x76213c,global,gDAT_0074c6d0
0x7635b8,global,gRaceGroups2
0x763b10,global,gRace_index
0x79ecb0,global,gMouse_last_pos
